time,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.65,0.000996777,0,6.3629,0,0,0,0,0,0,0.000649322,0,-903.962
0.66,0.000996677,0,6.46036,0,0,0,0,0,0,0.00065929,0,-903.898
0.67,0.000996575,0,6.5578,0,0,0,0,0,0,0.000669257,0,-903.833
0.68,0.000996471,0,6.65522,0,0,0,0,0,0,0.000679223,0,-903.768
0.69,0.000996366,0,6.75262,0,0,0,0,0,0,0.000689187,0,-903.701
0.7,0.00099626,0,6.85,0,0,0,0,0,0,0.000699151,0,-903.634
0.71,0.000996151,0,6.94735,0,0,0,0,0,0,0.000709114,0,-903.565
0.72,0.000996042,0,7.04469,0,0,0,0,0,0,0.000719075,0,-903.496
0.73,0.000995931,0,7.142,0,0,0,0,0,0,0.000729036,0,-903.425
0.74,0.000995818,0,7.23929,0,0,0,0,0,0,0.000738995,0,-903.354
0.75,0.000995704,0,7.33656,0,0,0,0,0,0,0.000748953,0,-903.282
0.76,0.000995588,0,7.43381,0,0,0,0,0,0,0.00075891,0,-903.208
0.77,0.000995471,0,7.53104,0,0,0,0,0,0,0.000768866,0,-903.134
0.78,0.000995352,0,7.62824,0,0,0,0,0,0,0.000778821,0,-903.059
0.79,0.000995232,0,7.72542,0,0,0,0,0,0,0.000788774,0,-902.982
0.8,0.00099511,0,7.82257,0,0,0,0,0,0,0.000798727,0,-902.905
0.81,0.000994987,0,7.9197,0,0,0,0,0,0,0.000808678,0,-902.827
0.82,0.000994862,0,8.01681,0,0,0,0,0,0,0.000818628,0,-902.748
0.83,0.000994736,0,8.11389,0,0,0,0,0,0,0.000828576,0,-902.667
0.84,0.000994608,0,8.21095,0,0,0,0,0,0,0.000838524,0,-902.586
0.85,0.000994479,0,8.30798,0,0,0,0,0,0,0.00084847,0,-902.504
0.86,0.000994348,0,8.40499,0,0,0,0,0,0,0.000858414,0,-902.421
0.87,0.000994216,0,8.50197,0,0,0,0,0,0,0.000868358,0,-902.337
0.88,0.000994082,0,8.59893,0,0,0,0,0,0,0.0008783,0,-902.252
0.89,0.000993946,0,8.69585,0,0,0,0,0,0,0.000888241,0,-902.166
0.9,0.000993809,0,8.79276,0,0,0,0,0,0,0.00089818,0,-902.079
0.91,0.000993671,0,8.88963,0,0,0,0,0,0,0.000908118,0,-901.991
0.92,0.000993531,0,8.98648,0,0,0,0,0,0,0.000918055,0,-901.902
0.93,0.00099339,0,9.0833,0,0,0,0,0,0,0.00092799,0,-901.812
0.94,0.000993247,0,9.1801,0,0,0,0,0,0,0.000937924,0,-901.722
0.95,0.000993102,0,9.27686,0,0,0,0,0,0,0.000947857,0,-901.63
0.96,0.000992957,0,9.3736,0,0,0,0,0,0,0.000957788,0,-901.537
0.97,0.000992809,0,9.47031,0,0,0,0,0,0,0.000967717,0,-901.443
0.98,0.00099266,0,9.56699,0,0,0,0,0,0,0.000977645,0,-901.349
0.99,0.00099251,0,9.66364,0,0,0,0,0,0,0.000987572,0,-901.253
1,0.000992358,0,9.76026,0,0,0,0,0,0,0.000997497,0,-901.156
1.01,0.000992205,0,9.85685,0,0,0,0,0,0,0.00100742,0,-901.059
1.02,0.00099205,0,9.95341,0,0,0,0,0,0,0.00101734,0,-900.96
1.03,0.000991893,0,10.0499,0,0,0,0,0,0,0.00102726,0,-900.86
1.04,0.000991735,0,10.1464,0,0,0,0,0,0,0.00103718,0,-900.76
1.05,0.000991576,0,10.2429,0,0,0,0,0,0,0.0010471,0,-900.659
1.06,0.000991415,0,10.3393,0,0,0,0,0,0,0.00105702,0,-900.556
1.07,0.000991253,0,10.4358,0,0,0,0,0,0,0.00106693,0,-900.453
1.08,0.000991089,0,10.5321,0,0,0,0,0,0,0.00107684,0,-900.348
1.09,0.000990924,0,10.6285,0,0,0,0,0,0,0.00108675,0,-900.243
1.1,0.000990757,0,10.7248,0,0,0,0,0,0,0.00109666,0,-900.137
1.11,0.000990589,0,10.8211,0,0,0,0,0,0,0.00110657,0,-900.029
1.12,0.000990419,0,10.9173,0,0,0,0,0,0,0.00111648,0,-899.921
1.13,0.000990248,0,11.0135,0,0,0,0,0,0,0.00112638,0,-899.812
1.14,0.000990075,0,11.1097,0,0,0,0,0,0,0.00113628,0,-899.702
1.15,0.000989901,0,11.2058,0,0,0,0,0,0,0.00114618,0,-899.591
1.16,0.000989725,0,11.302,0,0,0,0,0,0,0.00115608,0,-899.479
1.17,0.000989548,0,11.398,0,0,0,0,0,0,0.00116598,0,-899.366
1.18,0.000989369,0,11.4941,0,0,0,0,0,0,0.00117587,0,-899.252
1.19,0.000989189,0,11.5901,0,0,0,0,0,0,0.00118577,0,-899.137
1.2,0.000989008,0,11.6861,0,0,0,0,0,0,0.00119566,0,-899.021
1.21,0.000988825,0,11.782,0,0,0,0,0,0,0.00120555,0,-898.904
1.22,0.00098864,0,11.8779,0,0,0,0,0,0,0.00121544,0,-898.786
1.23,0.000988454,0,11.9738,0,0,0,0,0,0,0.00122533,0,-898.668
1.24,0.000988267,0,12.0696,0,0,0,0,0,0,0.00123521,0,-898.548
1.25,0.000988078,0,12.1654,0,0,0,0,0,0,0.00124509,0,-898.427
1.26,0.000987887,0,12.2611,0,0,0,0,0,0,0.00125497,0,-898.305
1.27,0.000987696,0,12.3569,0,0,0,0,0,0,0.00126485,0,-898.183
1.28,0.000987502,0,12.4525,0,0,0,0,0,0,0.00127473,0,-898.059
1.29,0.000987308,0,12.5482,0,0,0,0,0,0,0.0012846,0,-897.935
1.3,0.000987111,0,12.6438,0,0,0,0,0,0,0.00129448,0,-897.809
1.31,0.000986914,0,12.7394,0,0,0,0,0,0,0.00130435,0,-897.683
1.32,0.000986715,0,12.8349,0,0,0,0,0,0,0.00131422,0,-897.555
1.33,0.000986514,0,12.9304,0,0,0,0,0,0,0.00132408,0,-897.427
1.34,0.000986312,0,13.0258,0,0,0,0,0,0,0.00133395,0,-897.298
1.35,0.000986109,0,13.1212,0,0,0,0,0,0,0.00134381,0,-897.168
1.36,0.000985904,0,13.2166,0,0,0,0,0,0,0.00135367,0,-897.036
1.37,0.000985697,0,13.312,0,0,0,0,0,0,0.00136353,0,-896.904
1.38,0.00098549,0,13.4072,0,0,0,0,0,0,0.00137339,0,-896.771
1.39,0.00098528,0,13.5025,0,0,0,0,0,0,0.00138324,0,-896.637
1.4,0.00098507,0,13.5977,0,0,0,0,0,0,0.0013931,0,-896.502
1.41,0.000984857,0,13.6929,0,0,0,0,0,0,0.00140295,0,-896.366
1.42,0.000984644,0,13.788,0,0,0,0,0,0,0.0014128,0,-896.229
1.43,0.000984429,0,13.8831,0,0,0,0,0,0,0.00142264,0,-896.091
1.44,0.000984212,0,13.9782,0,0,0,0,0,0,0.00143249,0,-895.952
1.45,0.000983995,0,14.0732,0,0,0,0,0,0,0.00144233,0,-895.813
1.46,0.000983775,0,14.1681,0,0,0,0,0,0,0.00145217,0,-895.672
1.47,0.000983555,0,14.263,0,0,0,0,0,0,0.00146201,0,-895.53
1.48,0.000983332,0,14.3579,0,0,0,0,0,0,0.00147184,0,-895.387
1.49,0.000983109,0,14.4528,0,0,0,0,0,0,0.00148168,0,-895.244
1.5,0.000982884,0,14.5475,0,0,0,0,0,0,0.00149151,0,-895.099
1.51,0.000982657,0,14.6423,0,0,0,0,0,0,0.00150134,0,-894.954
1.52,0.000982429,0,14.737,0,0,0,0,0,0,0.00151116,0,-894.807
1.53,0.0009822,0,14.8317,0,0,0,0,0,0,0.00152099,0,-894.66
1.54,0.00098197,0,14.9263,0,0,0,0,0,0,0.00153081,0,-894.512
1.55,0.000981737,0,15.0209,0,0,0,0,0,0,0.00154063,0,-894.363
1.56,0.000981504,0,15.1154,0,0,0,0,0,0,0.00155045,0,-894.212
1.57,0.000981269,0,15.2099,0,0,0,0,0,0,0.00156026,0,-894.061
1.58,0.000981033,0,15.3043,0,0,0,0,0,0,0.00157007,0,-893.909
1.59,0.000980795,0,15.3987,0,0,0,0,0,0,0.00157988,0,-893.756
1.6,0.000980556,0,15.493,0,0,0,0,0,0,0.00158969,0,-893.602
1.61,0.000980315,0,15.5873,0,0,0,0,0,0,0.0015995,0,-893.447
1.62,0.000980073,0,15.6816,0,0,0,0,0,0,0.0016093,0,-893.291
1.63,0.00097983,0,15.7758,0,0,0,0,0,0,0.0016191,0,-893.134
1.64,0.000979585,0,15.8699,0,0,0,0,0,0,0.0016289,0,-892.977
1.65,0.000979339,0,15.9641,0,0,0,0,0,0,0.0016387,0,-892.818
1.66,0.000979091,0,16.0581,0,0,0,0,0,0,0.00164849,0,-892.658
1.67,0.000978842,0,16.1521,0,0,0,0,0,0,0.00165828,0,-892.498
1.68,0.000978592,0,16.2461,0,0,0,0,0,0,0.00166807,0,-892.336
1.69,0.00097834,0,16.34,0,0,0,0,0,0,0.00167785,0,-892.174
1.7,0.000978087,0,16.4339,0,0,0,0,0,0,0.00168764,0,-892.01
1.71,0.000977832,0,16.5277,0,0,0,0,0,0,0.00169742,0,-891.846
1.72,0.000977576,0,16.6215,0,0,0,0,0,0,0.0017072,0,-891.681
1.73,0.000977319,0,16.7152,0,0,0,0,0,0,0.00171697,0,-891.515
1.74,0.00097706,0,16.8089,0,0,0,0,0,0,0.00172675,0,-891.347
1.75,0.0009768,0,16.9025,0,0,0,0,0,0,0.00173652,0,-891.179
1.76,0.000976539,0,16.9961,0,0,0,0,0,0,0.00174628,0,-891.01
1.77,0.000976276,0,17.0896,0,0,0,0,0,0,0.00175605,0,-890.84
1.78,0.000976012,0,17.1831,0,0,0,0,0,0,0.00176581,0,-890.669
1.79,0.000975746,0,17.2765,0,0,0,0,0,0,0.00177557,0,-890.498
1.8,0.000975479,0,17.3699,0,0,0,0,0,0,0.00178533,0,-890.325
1.81,0.000975211,0,17.4632,0,0,0,0,0,0,0.00179508,0,-890.151
1.82,0.000974941,0,17.5565,0,0,0,0,0,0,0.00180484,0,-889.976
1.83,0.00097467,0,17.6497,0,0,0,0,0,0,0.00181459,0,-889.801
1.84,0.000974397,0,17.7429,0,0,0,0,0,0,0.00182433,0,-889.624
1.85,0.000974124,0,17.836,0,0,0,0,0,0,0.00183408,0,-889.447
1.86,0.000973848,0,17.929,0,0,0,0,0,0,0.00184382,0,-889.269
1.87,0.000973572,0,18.0221,0,0,0,0,0,0,0.00185356,0,-889.089
1.88,0.000973294,0,18.115,0,0,0,0,0,0,0.00186329,0,-888.909
1.89,0.000973015,0,18.2079,0,0,0,0,0,0,0.00187303,0,-888.728
1.9,0.000972734,0,18.3008,0,0,0,0,0,0,0.00188276,0,-888.546
1.91,0.000972452,0,18.3936,0,0,0,0,0,0,0.00189248,0,-888.363
1.92,0.000972169,0,18.4863,0,0,0,0,0,0,0.00190221,0,-888.179
1.93,0.000971884,0,18.579,0,0,0,0,0,0,0.00191193,0,-887.994
1.94,0.000971599,0,18.6716,0,0,0,0,0,0,0.00192165,0,-887.808
1.95,0.000971311,0,18.7642,0,0,0,0,0,0,0.00193136,0,-887.622
1.96,0.000971023,0,18.8567,0,0,0,0,0,0,0.00194108,0,-887.434
1.97,0.000970733,0,18.9492,0,0,0,0,0,0,0.00195079,0,-887.245
1.98,0.000970441,0,19.0416,0,0,0,0,0,0,0.00196049,0,-887.056
1.99,0.000970149,0,19.134,0,0,0,0,0,0,0.0019702,0,-886.865
2,0.000969855,0,19.2263,0,0,0,0,0,0,0.0019799,0,-886.674
2.01,0.000969559,0,19.3185,0,0,0,0,0,0,0.0019896,0,-886.482
2.02,0.000969263,0,19.4107,0,0,0,0,0,0,0.00199929,0,-886.289
2.03,0.000968965,0,19.5028,0,0,0,0,0,0,0.00200899,0,-886.095
2.04,0.000968666,0,19.5949,0,0,0,0,0,0,0.00201868,0,-885.9
2.05,0.000968365,0,19.6869,0,0,0,0,0,0,0.00202836,0,-885.704
2.06,0.000968063,0,19.7789,0,0,0,0,0,0,0.00203805,0,-885.507
2.07,0.00096776,0,19.8708,0,0,0,0,0,0,0.00204773,0,-885.309
2.08,0.000967455,0,19.9626,0,0,0,0,0,0,0.00205741,0,-885.11
2.09,0.000967149,0,20.0544,0,0,0,0,0,0,0.00206708,0,-884.911
2.1,0.000966842,0,20.1462,0,0,0,0,0,0,0.00207675,0,-884.71
2.11,0.000966534,0,20.2378,0,0,0,0,0,0,0.00208642,0,-884.509
2.12,0.000966224,0,20.3295,0,0,0,0,0,0,0.00209609,0,-884.306
2.13,0.000965913,0,20.421,0,0,0,0,0,0,0.00210575,0,-884.103
2.14,0.000965601,0,20.5125,0,0,0,0,0,0,0.00211541,0,-883.899
2.15,0.000965287,0,20.6039,0,0,0,0,0,0,0.00212506,0,-883.694
2.16,0.000964972,0,20.6953,0,0,0,0,0,0,0.00213472,0,-883.488
2.17,0.000964656,0,20.7866,0,0,0,0,0,0,0.00214437,0,-883.281
2.18,0.000964338,0,20.8779,0,0,0,0,0,0,0.00215401,0,-883.073
2.19,0.000964019,0,20.9691,0,0,0,0,0,0,0.00216366,0,-882.864
2.2,0.000963699,0,21.0602,0,0,0,0,0,0,0.0021733,0,-882.654
2.21,0.000963378,0,21.1513,0,0,0,0,0,0,0.00218293,0,-882.444
2.22,0.000963055,0,21.2423,0,0,0,0,0,0,0.00219257,0,-882.232
2.23,0.000962731,0,21.3333,0,0,0,0,0,0,0.0022022,0,-882.02
2.24,0.000962406,0,21.4242,0,0,0,0,0,0,0.00221182,0,-881.806
2.25,0.000962079,0,21.515,0,0,0,0,0,0,0.00222145,0,-881.592
2.26,0.000961751,0,21.6058,0,0,0,0,0,0,0.00223107,0,-881.377
2.27,0.000961422,0,21.6965,0,0,0,0,0,0,0.00224069,0,-881.161
2.28,0.000961092,0,21.7871,0,0,0,0,0,0,0.0022503,0,-880.944
2.29,0.00096076,0,21.8777,0,0,0,0,0,0,0.00225991,0,-880.726
2.3,0.000960427,0,21.9682,0,0,0,0,0,0,0.00226952,0,-880.507
2.31,0.000960093,0,22.0587,0,0,0,0,0,0,0.00227912,0,-880.288
2.32,0.000959758,0,22.1491,0,0,0,0,0,0,0.00228872,0,-880.067
2.33,0.000959421,0,22.2394,0,0,0,0,0,0,0.00229832,0,-879.846
2.34,0.000959083,0,22.3297,0,0,0,0,0,0,0.00230792,0,-879.623
2.35,0.000958744,0,22.4199,0,0,0,0,0,0,0.00231751,0,-879.4
2.36,0.000958404,0,22.51,0,0,0,0,0,0,0.00232709,0,-879.176
2.37,0.000958062,0,22.6001,0,0,0,0,0,0,0.00233668,0,-878.951
2.38,0.000957719,0,22.6901,0,0,0,0,0,0,0.00234626,0,-878.725
2.39,0.000957375,0,22.78,0,0,0,0,0,0,0.00235584,0,-878.498
2.4,0.00095703,0,22.8699,0,0,0,0,0,0,0.00236541,0,-878.27
2.41,0.000956683,0,22.9597,0,0,0,0,0,0,0.00237498,0,-878.041
2.42,0.000956335,0,23.0495,0,0,0,0,0,0,0.00238455,0,-877.812
2.43,0.000955986,0,23.1392,0,0,0,0,0,0,0.00239411,0,-877.581
2.44,0.000955636,0,23.2288,0,0,0,0,0,0,0.00240367,0,-877.35
2.45,0.000955284,0,23.3184,0,0,0,0,0,0,0.00241323,0,-877.117
2.46,0.000954932,0,23.4078,0,0,0,0,0,0,0.00242278,0,-876.884
2.47,0.000954578,0,23.4973,0,0,0,0,0,0,0.00243233,0,-876.65
2.48,0.000954222,0,23.5866,0,0,0,0,0,0,0.00244187,0,-876.415
2.49,0.000953866,0,23.6759,0,0,0,0,0,0,0.00245142,0,-876.179
2.5,0.000953508,0,23.7651,0,0,0,0,0,0,0.00246096,0,-875.943
2.51,0.000953149,0,23.8543,0,0,0,0,0,0,0.00247049,0,-875.705
2.52,0.000952789,0,23.9434,0,0,0,0,0,0,0.00248002,0,-875.466
2.53,0.000952428,0,24.0324,0,0,0,0,0,0,0.00248955,0,-875.227
2.54,0.000952066,0,24.1214,0,0,0,0,0,0,0.00249907,0,-874.987
2.55,0.000951702,0,24.2102,0,0,0,0,0,0,0.00250859,0,-874.745
2.56,0.000951337,0,24.2991,0,0,0,0,0,0,0.00251811,0,-874.503
2.57,0.000950971,0,24.3878,0,0,0,0,0,0,0.00252763,0,-874.26
2.58,0.000950604,0,24.4765,0,0,0,0,0,0,0.00253714,0,-874.016
2.59,0.000950235,0,24.5651,0,0,0,0,0,0,0.00254664,0,-873.772
2.6,0.000949865,0,24.6536,0,0,0,0,0,0,0.00255614,0,-873.526
2.61,0.000949495,0,24.7421,0,0,0,0,0,0,0.00256564,0,-873.279
2.62,0.000949122,0,24.8305,0,0,0,0,0,0,0.00257514,0,-873.032
2.63,0.000948749,0,24.9189,0,0,0,0,0,0,0.00258463,0,-872.784
2.64,0.000948375,0,25.0071,0,0,0,0,0,0,0.00259412,0,-872.535
2.65,0.000947999,0,25.0953,0,0,0,0,0,0,0.0026036,0,-872.284
2.66,0.000947623,0,25.1834,0,0,0,0,0,0,0.00261308,0,-872.033
2.67,0.000947245,0,25.2715,0,0,0,0,0,0,0.00262256,0,-871.782
2.68,0.000946865,0,25.3595,0,0,0,0,0,0,0.00263203,0,-871.529
2.69,0.000946485,0,25.4474,0,0,0,0,0,0,0.0026415,0,-871.275
2.7,0.000946104,0,25.5353,0,0,0,0,0,0,0.00265096,0,-871.021
2.71,0.000945721,0,25.623,0,0,0,0,0,0,0.00266042,0,-870.766
2.72,0.000945337,0,25.7107,0,0,0,0,0,0,0.00266988,0,-870.509
2.73,0.000944952,0,25.7984,0,0,0,0,0,0,0.00267933,0,-870.252
2.74,0.000944566,0,25.8859,0,0,0,0,0,0,0.00268878,0,-869.994
2.75,0.000944179,0,25.9734,0,0,0,0,0,0,0.00269823,0,-869.735
2.76,0.000943791,0,26.0608,0,0,0,0,0,0,0.00270767,0,-869.476
2.77,0.000943401,0,26.1482,0,0,0,0,0,0,0.00271711,0,-869.215
2.78,0.000943011,0,26.2354,0,0,0,0,0,0,0.00272654,0,-868.954
2.79,0.000942619,0,26.3226,0,0,0,0,0,0,0.00273597,0,-868.691
2.8,0.000942226,0,26.4098,0,0,0,0,0,0,0.0027454,0,-868.428
2.81,0.000941832,0,26.4968,0,0,0,0,0,0,0.00275482,0,-868.164
2.82,0.000941437,0,26.5838,0,0,0,0,0,0,0.00276424,0,-867.899
2.83,0.00094104,0,26.6707,0,0,0,0,0,0,0.00277365,0,-867.633
